linkedin_id,company_name,mean,std,q10,q50,q90,n_employees,headcount_ratio,headcount_mismatch
xaion-data-inc,Xaion Data,0.8291015625,1.1280742602151945,0.0,0.0,2.0,80,1.4035087719298245,False
fraktal-as,Fraktal Norge,0.81640625,1.0380854781572362,0.0,1.0,2.0,52,1.2093023255813953,False
mojotech,MojoTech,0.8017578125,1.0536195222162577,0.0,0.0,2.0,80,1.1267605633802817,False
expos-data-exposed,Exposé,0.78515625,0.9885745612172799,0.0,1.0,2.0,61,1.3555555555555556,False
droidsagency,Droids Agency,0.744140625,0.9916471677086611,0.0,0.0,2.0,26,1.1818181818181819,False
jaam-automation,Jaam Automation,0.720703125,0.9228655132874098,0.0,0.0,2.0,26,1.2380952380952381,False
teamonegroup,TeamOne Group,0.71875,1.0179060921813956,0.0,0.0,2.0,71,2.84,False
exposit,Exposit,0.693359375,1.0201652572498288,0.0,0.0,2.0,66,1.8857142857142857,False
grenoblepartners,Grenoble Partners,0.669921875,0.8852268389494776,0.0,0.0,2.0,21,1.9090909090909092,False
techsource-inc,TechSource,0.66015625,0.9300403085812665,0.0,0.0,2.0,165,0.39759036144578314,False
vsdata,VS Data,0.6259765625,0.9559379716805289,0.0,0.0,2.0,64,1.2307692307692308,False
launchpad-lab,LaunchPad Lab,0.60546875,0.900634203088822,0.0,0.0,2.0,59,1.2291666666666667,False
partnershipai,Partnership on AI,0.591796875,0.8334856529900406,0.0,0.0,2.0,61,1.90625,False
chipside-limited,Chipside,0.58984375,0.8195215681029618,0.0,0.0,2.0,27,1.35,False
tagtoo,Tagtoo Technology,0.5888671875,0.8926310116648647,0.0,0.0,2.0,56,1.1914893617021276,False
monadical,Monadical,0.5859375,0.798214254504234,0.0,0.0,2.0,23,1.2777777777777777,False
siali,Siali,0.5478515625,0.7915911052849878,0.0,0.0,2.0,31,1.55,False
tensorleap,Tensorleap,0.544921875,0.7917627644354617,0.0,0.0,2.0,19,1.1176470588235294,False
spark-wave,Spark Wave,0.537109375,0.8435126076634002,0.0,0.0,2.0,18,1.6363636363636365,False
wednesday-solutions,Wednesday Solutions,0.53125,0.7985582711987899,0.0,0.0,2.0,55,1.25,False
stme,STME,0.5244140625,0.7938912573849431,0.0,0.0,2.0,109,1.3625,False
iceapple-technology-solutions,IceApple Technology Solutions,0.5166015625,0.7729040290505403,0.0,0.0,2.0,24,1.1428571428571428,False
intelliarts,Intelliarts,0.5078125,0.8003524004110627,0.0,0.0,2.0,113,1.1770833333333333,False
theprobegroup,Probe Group,0.501953125,0.8136986913487906,0.0,0.0,2.0,107,2.018867924528302,False
