linkedin_id,mean,q10,q50,q90
hacksoft,0.4462890625,0.0,0.0,1.0
tapptitude,0.4453125,0.0,0.0,1.0
idalab-gmbh,0.431640625,0.0,0.0,1.0
digitalstrategyinnovation,0.4208984375,0.0,0.0,1.0
hydromind-group,0.4150390625,0.0,0.0,1.0
objetivasolucao,0.390625,0.0,0.0,1.0
archiot-digital-solutions-pvt-ltd,0.380859375,0.0,0.0,1.0
pitt-technology-group,0.37890625,0.0,0.0,1.0
rci-analytics-intelligence,0.361328125,0.0,0.0,1.0
cosmosthrace,0.3388671875,0.0,0.0,1.0
xcale-consulting,0.30859375,0.0,0.0,1.0
onepredict,0.3076171875,0.0,0.0,1.0
grps-lab-private-limited,0.30078125,0.0,0.0,1.0
kaeyros-analytics,0.2900390625,0.0,0.0,1.0
datapy,0.2890625,0.0,0.0,1.0
bysgrup,0.2841796875,0.0,0.0,1.0
lucientdata,0.2626953125,0.0,0.0,1.0
intelligichain,0.2470703125,0.0,0.0,1.0
alltegrio,0.240234375,0.0,0.0,1.0
itspeoplenederland,0.2314453125,0.0,0.0,1.0
rare-mile-technologies,0.220703125,0.0,0.0,1.0
softtact,0.2197265625,0.0,0.0,1.0
kifwat-india,0.208984375,0.0,0.0,1.0
austin-technology,0.2060546875,0.0,0.0,1.0
isboptimus,0.1962890625,0.0,0.0,1.0
hexafoldtech,0.193359375,0.0,0.0,1.0
dain-protocol,0.181640625,0.0,0.0,1.0
softshark,0.1767578125,0.0,0.0,1.0
craftworks-gmbh,0.1748046875,0.0,0.0,1.0
miracle-finland-oy,0.173828125,0.0,0.0,1.0
projak-infotech-pvt-ltd,0.173828125,0.0,0.0,1.0
5onenalytics,0.1650390625,0.0,0.0,1.0
cybersift.io,0.1640625,0.0,0.0,1.0
techno-pro-india,0.1630859375,0.0,0.0,1.0
lexoro,0.1591796875,0.0,0.0,1.0
aitil,0.15625,0.0,0.0,1.0
xpertdataworks,0.15234375,0.0,0.0,1.0
bds-chile,0.15234375,0.0,0.0,1.0
lund&bendsen-as,0.1494140625,0.0,0.0,1.0
tmltlabs,0.14453125,0.0,0.0,1.0
talentech-digital-llc,0.1416015625,0.0,0.0,1.0
nibgat,0.13671875,0.0,0.0,1.0
irrevo,0.134765625,0.0,0.0,1.0
plantechdev,0.134765625,0.0,0.0,1.0
latamdigi,0.12890625,0.0,0.0,1.0
sr-international-inc,0.1259765625,0.0,0.0,1.0
pentadata,0.123046875,0.0,0.0,1.0
sharpware,0.123046875,0.0,0.0,1.0
analytics-town,0.119140625,0.0,0.0,1.0
themoonshotfactory,0.115234375,0.0,0.0,1.0
overcode.tech,0.115234375,0.0,0.0,1.0
augur-it-consulting,0.11328125,0.0,0.0,1.0
chi-squarex,0.111328125,0.0,0.0,1.0
rbc-group,0.1025390625,0.0,0.0,0.0
kapahi-industries-private-limited,0.1005859375,0.0,0.0,0.0
kmeleontech,0.099609375,0.0,0.0,0.0
www-doublecheckconsulting-com,0.095703125,0.0,0.0,0.0
ignous,0.091796875,0.0,0.0,0.0
muons-technology,0.0888671875,0.0,0.0,0.0
hyquest-consulting-solutions-llc,0.087890625,0.0,0.0,0.0
lukasa-llc,0.0869140625,0.0,0.0,0.0
data-sleek,0.08203125,0.0,0.0,0.0
digiwisehub,0.0810546875,0.0,0.0,0.0
makesai,0.080078125,0.0,0.0,0.0
gefatec-sistemas-software-e-consultoria,0.080078125,0.0,0.0,0.0
accordbgroup,0.0791015625,0.0,0.0,0.0
courart-inform-tica-ltda,0.076171875,0.0,0.0,0.0
qexpert,0.0654296875,0.0,0.0,0.0
springbok-ai,0.0634765625,0.0,0.0,0.0
xaigi-technology-inc,0.0634765625,0.0,0.0,0.0
azati-corporation,0.0625,0.0,0.0,0.0
information-workers-group,0.060546875,0.0,0.0,0.0
vertex-laboratories,0.0595703125,0.0,0.0,0.0
allogic-tecnologia,0.0576171875,0.0,0.0,0.0
pbq-oilfield-services,0.052734375,0.0,0.0,0.0
new-outcome,0.0478515625,0.0,0.0,0.0
taristechnologies,0.04296875,0.0,0.0,0.0
iinumbers,0.0419921875,0.0,0.0,0.0
youneed-s.a.s,0.0390625,0.0,0.0,0.0
toncent-information-technology-services-shenzhen-co--ltd,0.0380859375,0.0,0.0,0.0
evergopartners,0.0380859375,0.0,0.0,0.0
q-noon,0.033203125,0.0,0.0,0.0
jdsc,0.033203125,0.0,0.0,0.0
-.technology-sarl,0.033203125,0.0,0.0,0.0
alexander-thamm-gmbh,0.03125,0.0,0.0,0.0
tqcs,0.0302734375,0.0,0.0,0.0
flowplus-helping-you-work-smarter,0.0283203125,0.0,0.0,0.0
aiqrate,0.0283203125,0.0,0.0,0.0
stowe-research-international-inc,0.02734375,0.0,0.0,0.0
data-cowboys-llc,0.0244140625,0.0,0.0,0.0
inftech-gmbh,0.0244140625,0.0,0.0,0.0
aiso-lab,0.0224609375,0.0,0.0,0.0
sevn3-ai,0.021484375,0.0,0.0,0.0
albitech-consulting-oy,0.01953125,0.0,0.0,0.0
amplient-labs,0.01953125,0.0,0.0,0.0
kantic-analytics,0.015625,0.0,0.0,0.0
cantabpi,0.015625,0.0,0.0,0.0
hubthunder,0.0146484375,0.0,0.0,0.0
tarahai,0.013671875,0.0,0.0,0.0
resileo-labs,0.01171875,0.0,0.0,0.0
genysolutions,0.009765625,0.0,0.0,0.0
ted-rpa-data,0.009765625,0.0,0.0,0.0
knowm-inc,0.0087890625,0.0,0.0,0.0
eoda-gmbh,0.0078125,0.0,0.0,0.0
lipon-technologies,0.005859375,0.0,0.0,0.0
