linkedin_id,company_name,mean,std,q10,q50,q90,n_employees
rci-analytics-intelligence,RCI Analytics Intelligence,0.361328125,0.6919660295736955,0.0,0.0,1.0,32
cosmosthrace,Cosmos Thrace,0.3388671875,0.632311210351232,0.0,0.0,1.0,23
xcale-consulting,XCALE Tech,0.30859375,0.5850383726397248,0.0,0.0,1.0,29
onepredict,onepredict,0.3076171875,0.5712005807547729,0.0,0.0,1.0,41
grps-lab-private-limited,GRPS Lab,0.30078125,0.5956871155635629,0.0,0.0,1.0,28
kaeyros-analytics,Kaeyros Analytics,0.2900390625,0.5667016673031068,0.0,0.0,1.0,31
datapy,Datapy,0.2890625,0.5697771459910883,0.0,0.0,1.0,29
bysgrup,Bys Grup,0.2841796875,0.5627635762133174,0.0,0.0,1.0,30
lucientdata,Lucient,0.2626953125,0.550510204528969,0.0,0.0,1.0,27
intelligichain,IntelligiChain,0.2470703125,0.5177430088191943,0.0,0.0,1.0,12
alltegrio,Alltegrio,0.240234375,0.5047647422991818,0.0,0.0,1.0,22
itspeoplenederland,ITsPeople,0.2314453125,0.5193026620592055,0.0,0.0,1.0,23
rare-mile-technologies,Rare Mile Technologies,0.220703125,0.4902577185677288,0.0,0.0,1.0,22
softtact,Softtact,0.2197265625,0.5015226069001611,0.0,0.0,1.0,23
kifwat-india,Kifwat India,0.208984375,0.47318458978062605,0.0,0.0,1.0,20
austin-technology,Austin Technology,0.2060546875,0.48966113615364387,0.0,0.0,1.0,20
isboptimus,ISB Optimus,0.1962890625,0.43922194440040346,0.0,0.0,1.0,20
hexafoldtech,Hexafold Technologies,0.193359375,0.4547007555520547,0.0,0.0,1.0,17
dain-protocol,Dain,0.181640625,0.45523736484345106,0.0,0.0,1.0,18
softshark,SoftShark,0.1767578125,0.45178339745968404,0.0,0.0,1.0,19
craftworks-gmbh,craftworks,0.1748046875,0.42814776506251595,0.0,0.0,1.0,29
miracle-finland-oy,Miracle Finland,0.173828125,0.4251132589781038,0.0,0.0,1.0,18
projak-infotech-pvt-ltd,Projak Infotech,0.173828125,0.43644805871831344,0.0,0.0,1.0,17
5onenalytics,5ONE Analytics,0.1650390625,0.42517046034399086,0.0,0.0,1.0,17
cybersift.io,Cybersift,0.1640625,0.4220919581012531,0.0,0.0,1.0,14
techno-pro-india,TechnoPro India,0.1630859375,0.4143008140104797,0.0,0.0,1.0,15
lexoro,lexoro,0.1591796875,0.4181592275526182,0.0,0.0,1.0,16
aitil,AITIL,0.15625,0.39897329171261575,0.0,0.0,1.0,15
xpertdataworks,Xpert Data Works,0.15234375,0.39060546826169434,0.0,0.0,1.0,15
bds-chile,Business Data Solutions,0.15234375,0.4124933415655791,0.0,0.0,1.0,24
lund&bendsen-as,Lund&Bendsen,0.1494140625,0.3979189621358174,0.0,0.0,1.0,17
tmltlabs,Tumult Labs,0.14453125,0.39603673159624664,0.0,0.0,1.0,9
talentech-digital-llc,TalenTech Digital,0.1416015625,0.4127695301225111,0.0,0.0,1.0,15
nibgat,NİBGAT®,0.13671875,0.3761173133457665,0.0,0.0,1.0,13
irrevo,Irrevo,0.134765625,0.3819695358511715,0.0,0.0,1.0,12
plantechdev,Plantech,0.134765625,0.37422099262115077,0.0,0.0,1.0,14
latamdigi,Latam Digital,0.12890625,0.3839865605863537,0.0,0.0,1.0,12
sr-international-inc,SR International,0.1259765625,0.3573298101204035,0.0,0.0,1.0,12
pentadata,Pentadata Infokom Persada,0.123046875,0.3624139091601402,0.0,0.0,1.0,14
sharpware,Sharpware,0.123046875,0.3569840214249573,0.0,0.0,1.0,12
analytics-town,Analytics Town,0.119140625,0.3610218296372248,0.0,0.0,1.0,11
themoonshotfactory,The Moonshot Factory,0.115234375,0.34290000556774475,0.0,0.0,1.0,11
overcode.tech,OVERCODE,0.115234375,0.34573622722873487,0.0,0.0,1.0,12
augur-it-consulting,Augur IT Consulting,0.11328125,0.3491890367672466,0.0,0.0,1.0,12
chi-squarex,Chi SquareX,0.111328125,0.3470137584937871,0.0,0.0,1.0,10
rbc-group,RBC Group,0.1025390625,0.3340000795832556,0.0,0.0,0.0,82
kapahi-industries-private-limited,Kapahi Industries,0.1005859375,0.31966725931387796,0.0,0.0,0.0,10
kmeleontech,Kmeleon,0.099609375,0.3153616533634192,0.0,0.0,0.0,10
www-doublecheckconsulting-com,Double Check Consulting,0.095703125,0.3134689567807861,0.0,0.0,0.0,10
ignous,Ignous,0.091796875,0.31463504054735286,0.0,0.0,0.0,8
muons-technology,Muons Technology,0.0888671875,0.28796342734076463,0.0,0.0,0.0,8
hyquest-consulting-solutions-llc,HyQuest Consulting Solutions,0.087890625,0.30312474830852953,0.0,0.0,0.0,9
lukasa-llc,Lukasa,0.0869140625,0.2919235914408873,0.0,0.0,0.0,8
data-sleek,Data-Sleek,0.08203125,0.2916637602161734,0.0,0.0,0.0,8
digiwisehub,Digiwise,0.0810546875,0.2834505250202888,0.0,0.0,0.0,15
makesai,Makes.ai,0.080078125,0.27498862503108085,0.0,0.0,0.0,10
gefatec-sistemas-software-e-consultoria,Gefatec,0.080078125,0.28884467088122706,0.0,0.0,0.0,7
accordbgroup,Accord Business Group,0.0791015625,0.27349155436696504,0.0,0.0,0.0,119
courart-inform-tica-ltda,Courart Informática,0.076171875,0.2689290714277361,0.0,0.0,0.0,8
qexpert,Qexpert,0.0654296875,0.25505860795835206,0.0,0.0,0.0,6
springbok-ai,Springbok AI,0.0634765625,0.24381814639846558,0.0,0.0,0.0,6
xaigi-technology-inc,Xaigi Technology,0.0634765625,0.2477910682675701,0.0,0.0,0.0,27
azati-corporation,Azati Corporation,0.0625,0.2688226645950821,0.0,0.0,0.0,188
information-workers-group,Information Workers Group,0.060546875,0.24655060520658711,0.0,0.0,0.0,6
vertex-laboratories,Vertex Laboratories,0.0595703125,0.2366890161554869,0.0,0.0,0.0,6
allogic-tecnologia,Allogic Tecnologia,0.0576171875,0.24125442421765003,0.0,0.0,0.0,5
pbq-oilfield-services,PBQ Oilfield Services,0.052734375,0.24034550275251537,0.0,0.0,0.0,5
new-outcome,New Outcome,0.0478515625,0.2224141193052019,0.0,0.0,0.0,5
taristechnologies,Taris Technologies,0.04296875,0.20754652857476924,0.0,0.0,0.0,4
iinumbers,iiNumbers,0.0419921875,0.20057129328237588,0.0,0.0,0.0,4
youneed-s.a.s,YouNeeD,0.0390625,0.19872027096838912,0.0,0.0,0.0,4
toncent-information-technology-services-shenzhen-co--ltd,Toncent Information Technology Service,0.0380859375,0.20134956882185295,0.0,0.0,0.0,6
evergopartners,Evergo,0.0380859375,0.19643961887752198,0.0,0.0,0.0,5
q-noon,Q-Noon,0.033203125,0.1791666193525858,0.0,0.0,0.0,3
